No,Address,Amount (BUSD - Testnet)
1,0x4943dD54dFE70f84C0176948deB53607b174cda1,2000
2,0x9fCFdB8158e982E9d3E3Cf9C9D29E9d4b1C75bc5,5000
3,0x39474464Cda40FaC8FA129Ddf3E52bF6b758b182,10000
4,0xd3ed630E67cfEDD5e045F69072b703E857A9f462,2000
5,0xB258c378A5d63295d973619c82Ba308d5dCa0779,5000
6,0x9ac3426b2576224B4D9A3180F1d2AabB7FfBE985,10000
7,0x640C18eaea1b97A765814fbc9247f534F9aE0559,2000
8,0xc482514229dF515a8D95DD5669465fEFb49BF56D,5000
9,0x675940c51aC71DE1aAa62C6d0AC1b5125352c418,10000
10,0xEcEbD57146DdfB8ECeEC4098F20097bA7a1E7fd2,2000
11,0xb39d93dBaC06eAA0Fc8993FDaAa8631207DBb6A8,5000
12,0x8CF26f5D7326475f09fdA53A51B3CC6b3B155746,10000
13,0xFF4df95b43A89724F23916A9C5aA41A6e9B1ce33,2000
14,0x5415241BbEEd6179F87Faf46EF78927a729ee446,5000
15,0x86a960feA7f960Fa8D0D7AdA6722c6A55398130b,10000
16,0x1ABfF60936510969e37dCc8b01a8db060e632bd1,2000
17,0x9D4E46399210382D8A45ffe1777D8e01A1872CAa,5000
18,0x4798bC074646628c9d2F9e3A8504bd405f2a5146,10000
19,0xA3acF946b34e66760Ede626a1887E989f556736b,2000
20,0xFA4937670686c09F180C71a9b93e2FfCC3A79F47,5000
21,0x2084BCCb005264E2cfBBdC80C0F241097dAF042c,10000
22,0x2D70047BE04Ac42Bc82c16Fe6ffbc83F11A55c70,2000
23,0x617F8D8F6C5E05C50e1aA3B0D221e0E32C2c12E1,5000
24,0x64766F7Fb8Ccc99c5FDba54e2e968d1d244B83Be,10000
25,0x51dF49f7F87382e08DE0D895bEB59b9CcBAee06c,2000
26,0x84399eD987faC85c52fA7e0B871fBb0a8e4Dcdfb,5000
27,0x5a7721a162C66A430591ae96Ad90526C6EA05762,10000
28,0x5F39c49e3146e444f2Bb4F06eaD86B37F050cAcb,2000
29,0x2E6e09230d5d24D0341bD22381701132a700dF67,5000
30,0x19C2F2c2830729821adCc21a940F3807Af5CDde9,10000
31,0xE3DbA54c331002405f1Af82C37aD5Be5700eB5b0,2000
32,0xBE4AA0296B2B217d03DDFfF792675cfCa96A95B4,5000
33,0x0e511D003abe057A197b456AA74C603E1598aD88,10000
34,0x74B88c5B61c33484AA2Cc4663188e97071a6C611,2000
35,0xD7f9a4b0c823bDCE2673FE11707551e2f9D32d6A,5000
36,0x7644424ac4490e3DC2810DF697AA0E1a30fd7e03,10000
37,0x471d14Eb7d215Bb59b5589BDd3298f336b8327B4,2000
38,0xdD75e51cf7c243C0C9005376C10aFcf8171F8f7B,5000
39,0xAfCf06e168ac95488101a49849833034Fd1F5169,10000
40,0xE31d164EC7cf870332246c65a919f64479B27cDB,2000
41,0x636e146CbB1d5c7e9a223F774CfAa6A383A5A846,5000
42,0x81394D75A3e6347FCE48DeBe830D82Ed30443450,10000
43,0xFF739Fb2226AbE16f4BFd0E1c3Df782631c9Dc80,2000
44,0x3346622FD6Ec2C4415a3efd301CF93C3E50166f0,5000
45,0x6af8476Ef4d93B85f2108BE8a58c8c422Edf13a6,10000
46,0x87E754A561f5D346b2Ba2C3b03cD8b4Cc0cc1b86,2000
47,0x893655bbcfcc2731B3e625853E783cB19933b0aC,5000
48,0x6ec1A58f644CEF420cEe3168c93aaF9f6666Ae5d,10000
49,0xD5Ae8c8675818b09b9e0544A92316Baf5093F1cD,2000
50,0xa9579503d9Cf256eAb3274343EC886DB1Cd312C3,5000
51,0xC30e7a9238D851D79BFd751449703bd79A0746bD,10000
52,0xA0b6f8101c5F9415d70CcE94D3963Bb2516bBb24,2000
53,0x8fb564A825183B8c2A140BB49e5044Aa245E465e,5000
54,0x38eE70E0059303c018155FCd617700E425bb0154,10000
55,0xeF67eda6B1Fea742144C8BfF59125D32553cB7e5,2000
56,0xD25665948B2757cAE16b12038ab6009c8a954b5d,5000
57,0x63C354886FB84eA4EF1B6a3Ee11d5c8c81D943D9,10000
58,0xd4Df34Bc12D0cf06828705572881bd60aCC7F26E,2000
59,0x9c80810A659b82ffc4bEf410B688202A2938Db9C,5000
60,0x662eEB42E6Afd6FD2DB032D0Ed5a527D3cFB6566,10000
61,0x699F18EaC08394C3BE516710EB4AE536f44371d0,2000
62,0x8772689D557a4e8DAFa44Ee63aE2fA04f2b953Db,5000
63,0x26f2c8f946e61C9280dEe7fe0AEAAD730a6D6D73,10000
64,0x6EBf0C6D43E6C6Efb4b326581f7D8FD7dD333e6c,2000
65,0xd96794498C7D695B7cD402A0D03Ab9F1792f52d0,5000
66,0x1B78de0532be7D4f2599Bb11990A2d563093Ee9b,10000
67,0x4E29cEF34412Bfd1C85C32441134b971D72B8039,2000
68,0x0D71C806e849a7f7c1De78958b421f97668c5D39,5000
69,0x80f416e2a854bb8C3Ed72792cf2dfd3f66F195fA,10000
70,0x051dc5e01154c09e9b4e7cAaF846Cfc882120ccD,2000
71,0x4a8A7B1519781a050746123f361BF2Cc3ba56935,5000
72,0x872c67bFfcC52859Ee35a21eBC0cC51cf1cF3221,10000
73,0x489D5F1BF27C92D32044D262f975466B030Cc561,2000
74,0x9a6AeDACAE25d0a98A6332fDEfD44aD156315f7b,5000
75,0xBd4B7955A89700167b3ACD04b438b3296588BBB1,10000
76,0x4Fb491631641e1aA50EEBd5C55Cf7be8E71990fb,2000
77,0xE8C97b082ad267e920c19847DfcCBa7714cfB90F,5000
78,0x4eCC1C0c297E2a57a7Ff1848496AB6a1b8a825Cd,10000
79,0xD65a05aC0F9a170e4D4697d0788A64692f9982b8,2000
